Origin Paper,Snowballing Type,Reference,External Link,DOI,
6,Backward,"Lakshitha de Silva and Dharini Balasubramaniam. 2012. Controlling software architecture erosion: A survey. J Syst Software 85, 1 (2012), 132--151.",,https://doi.org/10.1016/j.jss.2011.07.036,
6,Backward,"N. Dragoni, S. Giallorenzo, A. L. Lafuente, M. Mazzara, F. Montesi, R. Mustafin, and L. Safina. 2017. Microservices: yesterday, today, and tomorrow. In Present and Ulterior Software Engineering. Springer, 195--216.",,https://doi.org/10.1007/978-3-319-67425-4_12,
6,Backward,"T. Engel, M. Langermeier, B. Bauer, and A. Hofmann. 2018. Evaluation of Microservice Architectures: A Metric and Tool-Based Approach. In International Conference on Advanced Information Systems Engineering. Springer, 74--89.",,https://doi.org/10.1007/978-3-319-92901-9_8,
6,Backward,"P Jamshidi, C Pahl, N C Mendonca, J Lewis, and S Tilkov. 2018. Microservices: The Journey So Far and Challenges Ahead. IEEE Softw 35, 3 (May 2018), 24--35.",,https://doi.org/10.1109/MS.2018.2141039,
6,Backward,"Liu Jing, He Keqing, Ma Yutao, and Peng Rong. 2006. Scale free in software metrics. In 30th Annual International Computer Software and Applications Conference (COMPSAC'06), Vol. 1. IEEE, 229--235.",,https://doi.org/10.1109/COMPSAC.2006.75,
6,Backward,"Shinya Kitajima and Naoki Matsuoka. 2017. Inferring Calling Relationship Based on External Observation for Microservice Architecture. In Intl. Conf. on Service-Oriented Computing. Springer, 229--237.",,https://doi.org/10.1007/978-3-319-69035-3_16,
6,Backward,"Averill M Law, W David Kelton, and W David Kelton. 2013. Simulation modeling and analysis. Vol. 5. McGraw-Hill Education.",,http://ndl.ethernet.edu.et/bitstream/123456789/87806/5/Simulation%20Modeling%20and%20Analysis%20by%20Averill%20M%20Law%20%28z-lib.org%29.pdf,
6,Backward,J. Lewis and M. Fowle. 2014. Microservices - a definition of this new architectural term. http://martinfowler.com/articles/microservices.html,,,
6,Backward,"Mikael Lindvall, Roseanne Tesoriero, and Patricia Costa. 2002. Avoiding architectural degeneration: An evaluation process for software architecture. In Proceedings Eighth IEEE Symposium on Software Metrics. IEEE, 77--86.",https://dl.acm.org/doi/10.5555/823457.824051,,
6,Backward,"Shang-Pin Ma, Chen-Yuan Fan, Yen Chuang, Wen-Tin Lee, Shin-Jie Lee, and Nien-Lin Hsueh. 2018. Using service dependency graph to analyze and test microservices. In 2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC), Vol. 2. IEEE, 81--86.",,https://doi.org/10.1109/COMPSAC.2018.10207,
6,Backward,"Benjamin Mayer and Rainer Weinreich. 2018. An approach to extract the architecture of microservice-based software systems. In 2018 IEEE Symposium on Service-Oriented System Engineering(SOSE). IEEE, 21--30.",,https://doi.org/10.1109/SOSE.2018.00012,
6,Backward,"Mikhail Perepletchikov, Caspar Ryan, and Keith Frampton. 2005. Comparing the impact of service-oriented and object-oriented paradigms on the structural properties of software. In OTM Confederated International Conferences"" On the Move to Meaningful Internet Systems"". Springer, 431--441.",,https://doi.org/10.1007/11575863_63,
6,Backward,"Mikhail Perepletchikov, Caspar Ryan, Keith Frampton, and Zahir Tari. 2007. Coupling metrics for predicting maintainability in service-oriented designs. In 2007 Australian Software Engineering Conference (ASWEC'07). IEEE, 329--340.",,https://doi.org/10.1109/ASWEC.2007.17,
6,Backward,"Arthur F. Pinto, Ricardo Terra, Eduardo Guerra, and Fernanda São Sabbas. 2017. Introducing an architectural conformance process in continuous integration. Journal of Universal Computer Science 23, 8 (2017), 769--805.",https://professores.dcc.ufla.br/~terra/publications_files/2017_jucs.pdf,,
6,Backward,"Alex Potanin, James Noble, Marcus Frean, and Robert Biddle. 2005. Scale-free geometry in OO programs. Commun. ACM 48, 5 (2005), 99--103.",,https://doi.org/10.1145/1060710.1060716,
6,Backward,"Davide Rahman, MI.and Taibi. 2019. A curated Dataset of Microservices-Based Systems. In Joint Proceedings of the Summer School on Software Maintenance and Evolution (Tampere, Finland). CEUR-WS.",https://researchportal.tuni.fi/en/publications/a-curated-dataset-of-microservices-based-systems/,,
6,Backward,"M. Riaz, M. Sulayman, and H. Naqvi. 2009. Architectural decay during continuous software evolution and impact of 'design for change' on software architecture. In International Conference on Advanced Software Engineering and Its Applications. Springer, 119--126.",,https://doi.org/10.1007/978-3-642-10619-4_15,
6,Backward,"A R Sampaio. 2017. Supporting microservice evolution,"" Proc. - 2017. IEEE Int. Conf. Softw. Maint. Evol. ICSME 2017 (2017), 539--543.",,https://doi.org/10.1109/ICSME.2017.63,
6,Backward,"Mojtaba Shahin, Mansooreh Zahedi, Muhammad Ali Babar, and Liming Zhu. 2018. An empirical study of architecting for continuous delivery and deployment. Empirical Software Engineering (2018), 1--48.",,https://doi.org/10.1007/s10664-018-9651-4,
6,Backward,"Bruno L. Sousa, Mariza A. S. Bigonha, and Kecia A. M. Ferreira. 2019. Analysis of Coupling Evolution on Open Source Systems. In Proceedings of the XIII Brazilian Symposium on Software Components, Architectures, and Reuse (Salvador, Brazil) (SBCARS '19). Association for Computing Machinery, New York, NY, USA, 23--32.",,https://doi.org/10.1145/3357141.3357147,
6,Backward,"Lovro Šubelj and Marko Bajec. 2012. Software systems through complex networks science: Review, analysis and applications. In Proceedings of the First International Workshop on Software Mining. 9--16.",,https://doi.org/10.1145/2384416.2384418,
6,Backward,"Davide Taibi, Valentina Lenarduzzi, and Claus Pahl. 2020. Microservices Antipatterns: A Taxonomy. In Microservices. Springer, 111--128.",,https://doi.org/10.1007/978-3-030-31646-4_5, 
6,Backward,"Rajesh Vasa, Markus Lumpe, Philip Branch, and Oscar Nierstrasz. 2009. Comparative analysis of evolving software systems using the Gini coefficient. In 2009 IEEE International Conference on Software Maintenance. IEEE, 179--188.",,https://doi.org/10.1109/ICSM.2009.5306322,
6,Backward,"Lian Wen, R Geoff Dromey, and Diana Kirk. 2009. Software Engineering and Scale-Free Networks. IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 39, 4 (2009), 845--854.",,https://doi.org/10.1109/TSMCB.2009.2020206,
6,Backward,"Richard Wheeldon and Steve Counsell. 2003. Power law distributions in class relationships. In Proceedings Third IEEE International Workshop on Source Code Analysis and Manipulation. IEEE, 45--54.",,https://doi.org/10.1109/SCAM.2003.1238030,
6,Backward,"Kuan Xu. 2003. How has the literature on Gini's index evolved in the past 80 years? Dalhousie University, Economics Working Paper (2003).",,https://dx.doi.org/10.2139/ssrn.423200,
6,Backward,"Xiang Zhou, Xin Peng, Tao Xie, Jun Sun, Chenjie Xu, Chao Ji, and Wenyun Zhao. 2018. Benchmarking Microservice Systems for Software Engineering Research. In Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings (Gothenburg, Sweden) (ICSE '18). Association for Computing Machinery, New York, NY, USA, 323--324.",,https://doi.org/10.1145/3183440.3194991,
6,Forward,"KAUSHIK, Neha; KUMAR, Harish; RAJ, Vinay. A systematic review of QoS enhancement techniques in microservices architecture. Computers and Electrical Engineering, v. 127, p. 110550, 2025.",,https://doi.org/10.1016/j.compeleceng.2025.110550,
6,Forward,"ALBOQMI, Rami; JAHAN, Sharmin; GAMBLE, Rose F. A runtime trust evaluation mechanism in the service mesh architecture. In: 2023 10th International Conference on Future Internet of Things and Cloud (FiCloud). IEEE, 2023. p. 242-249.",,https://doi.org/10.1109/FiCloud58648.2023.00043,
6,Forward,"ABDELFATTAH, Amr S. et al. Assessing evolution of microservices using static analysis. Applied Sciences, v. 14, n. 22, p. 10725, 2024.",,https://doi.org/10.3390/app142210725,
6,Forward,"D’ARAGONA, Dario Amoroso et al. Microservice logical coupling: A preliminary validation. In: 2023 IEEE 20th International Conference on Software Architecture Companion (ICSA-C). IEEE, 2023. p. 81-85.",,https://doi.org/10.1109/ICSA-C57050.2023.00028,
6,Forward,"ADAMS, Lauren et al. Evolution and anti-patterns visualized: Microprospect in microservice architecture. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2023. p. 309-325.",,https://doi.org/10.1007/978-3-031-66326-0_19,
6,Forward,"HE, Xiang et al. MicroForge: An Integrated Platform for Accelerating Experiments in Microservice Research With the Universal Evolution Model. IEEE Transactions on Services Computing, 2025.",,https://doi.org/10.1109/TSC.2025.3608160,
6,Forward,"ARAGONA, Dario Amoroso et al. On the empirical evidence of microservice logical coupling. a registered report. arXiv preprint arXiv:2306.02036, 2023.",,https://doi.org/10.48550/arXiv.2306.02036,
6,Forward,"HE, Xiang et al. Rescureservice: A benchmark microservice system for the research of mobile edge and cloud computing. arXiv preprint arXiv:2212.11758, 2022.",,https://doi.org/10.48550/arXiv.2212.11758,
6,Forward,"ZAFAR, Faizan. Investigating Quality Attributes and Best Practices of Microservices Architectures. 2022.",https://swc.rwth-aachen.de/docs/bachelor-master-theses/2022-015-MT_Zafar/2022-11-07%20MT%20Faizan%20Zafar%20-%20Thesis%20Report.pdf,,
6,Forward,"NATH, Swastik; CHAKRABORTY, Anushree; PAL, Soumyajit. Microservices Mesh Orchestration: A Comprehensive Review of Design Decisions, Performance Optimization in terms of Instance Selection & Self Adaptation. International Journal of Next-Generation Computing, v. 16, n. 2, 2025.",https://www.researchgate.net/profile/Soumyajit-Pal-2/publication/397174181_Microservices_Mesh_Orchestration_A_Comprehensive_Review_of_Design_Decisions_Performance_Optimization_in_terms_of_Instance_Selection_Self_Adaptation/links/690b4125a2b691617b69949c/Microservices-Mesh-Orchestration-A-Comprehensive-Review-of-Design-Decisions-Performance-Optimization-in-terms-of-Instance-Selection-Self-Adaptation.pdf,,
6,Forward,"AZIZ, Junaid; RASOOL, Ghulam. Microservice Antipatterns: Causes, Detection, and Refactoring Challenges. UCP Journal of Engineering & Information Technology, v. 3, n. 1, p. 17-29, 2025.",,https://doi.org/10.24312/ucp-jeit.03.01.515,
6,Forward,"AMORIM, J. P. et al. Análise de dependências via comunicação assíncrona em arquiteturas baseadas em microsserviços. 2020.",https://www.ic.unicamp.br/~reltech/PFG/2020/PFG-20-41.pdf,,
