bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,status,comments
,Model-Driven Evolution of Software Architectures,"Graaf, Bas",,2007,ACM Digital Library,357–360,,"This paper gives an overview of a Ph.D.-project that investigates approaches to support the evolution of software architectures. Particularly, we focus on the use of model-driven techniques in the context of software product-lines. We recognise four tasks related to software evolution: evaluation, conformance checking, migration, and documentation. We propose model-driven solutions for these tasks. By their application in industrial case studies we investigate the extent to which the evolution tasks can be automated, the impact of the use of software product lines, and the possibilities and difficulties to integrate these solutions in industrial practice.",,10.1109/CSMR.2007.35,https://doi.org/10.1109/CSMR.2007.35,,,,IEEE Computer Society,,,,,"46049,79051","46049,79051",Unclassified,
,Verifying Protocol Conformance Using Software Model Checking for the Model-Driven Development of Embedded Systems,"Moffett, Yann and Dingel, Juergen and Beaulieu, Alain",IEEE Trans. Softw. Eng.,2013,ACM Digital Library,1307–13256,39,"To facilitate modular development, the use of state machines has been proposed to specify the protocol (i.e., the sequence of messages) that each port of a component can engage in. The protocol conformance checking problem consists of determining whether the actual behavior of a component conforms to the protocol specifications on its ports. In this paper, we consider this problem in the context of the model-driven development (MDD) of embedded systems based on UML 2, in which UML 2 state machines are used to specify component behavior. We provide a definition of conformance which slightly extends those found in the literature and reduce the conformance check to a state space exploration. We describe a tool implementing the approach using the Java PathFinder software model checker and the MDD tool IBM Rational RoseRT, discuss its application to three case studies, and show how the tool repeatedly allowed us to find unexpected conformance errors with encouraging performance. We conclude that the approach is promising for supporting the modular development of embedded components in the context of industrial applications of MDD.",,10.1109/TSE.2013.14,https://doi.org/10.1109/TSE.2013.14,,,"Component-based software engineering, Context, Java, Ports (Computers), Protocols, Safety, Software, Unified modeling language, behavioral interface specifications, formal specification and verification, model-driven development, software model checking, software modeling",IEEE Press,0098-5589,,,,"46049,79051","46049,79051",Unclassified,
,Automated procedure clustering for reverse engineering PL/SQL programs,"Altιnι\c{s}ιk, Metin and S\""{o}zer, Hasan",,2016,ACM Digital Library,1440–1445,,"PL/SQL programs are mainly composed of procedures that interact with a database. These procedures are grouped into packages at the architecture design level for increasing modularity and maintainability. However, the intended modular structure is subject to architectural drift especially for large scale programs that are maintained for a long duration. Existing reverse engineering and refactoring techniques cannot be directly applied for these programs. Unlike other programs, PL/SQL programs involve procedures that are in most cases indirectly coupled due to their database operations. In this paper, we provide an approach and a tool that support reverse engineering and refactoring of PL/SQL programs. We analyze dependencies among PL/SQL procedures based on the accessed database elements. We represent these dependencies in the form of a design structure matrix. Then, we cluster the procedures and propose a packaging structure to the designer. We performed an industrial case study from the telecommunications domain. We observed promising results in which several unexisted packages were proposed by our tool and the accuracy of the results were approved by domain experts.",,10.1145/2851613.2851781,https://doi.org/10.1145/2851613.2851781,,,"PL/SQL programs, industrial case study, module clustering, refactoring, reverse engineering",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,A Data-Driven Framework to Test Validity of the Discovered Clinical Process Based on Selected Patient Outcomes,"Chen, Qifan and Lu, Yang and Tam, Charmaine S. and Poon, Simon K.",,2023,ACM Digital Library,248–251,,"A clinical process contains a treatment pathway for a well-defined patient group that aims to improve patient outcomes. Electronic Health Records (EHRs) have become popular with the rapid development of healthcare information systems. Process mining utilises event logs extracted from EHRs and aims to discover systematic clinical processes automatically. Hence, the validity of the discovered clinical process becomes a critical issue for stakeholders. Existing methods mainly focus on evaluating the performance of the discovery algorithms (the conformance between the discovered process and the event log) while ignoring the validity of the discovered clinical process. Therefore, we propose a data-driven framework that can test the validity of the process by correlating selected patient outcomes with the discovered clinical process. A valid and effective clinical process should positively impact patient outcomes and can potentially assist in developing evidence-based guidelines for future treatments. The data-driven framework adopts the triangulation method combined with the statistical test model consisting of propensity score matching and difference-in-difference regression to overcome the limitations of existing methods. A use case scenario is presented to discover the clinical process for patients with suspected acute coronary syndrome.",,10.1145/3579375.3579414,https://doi.org/10.1145/3579375.3579414,,,"Healthcare process, Process mining, Process validation",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Research on Enterprise Business Architecture Design Method Based on Domain-Driven Design,"Deng, Huiwen and Zhao, Yan",,2025,ACM Digital Library,1056–1061,,"In the transition to the ""digital"" era, many large enterprises have adopted enterprise architecture methodologies for top-level design, business architecture as the core content of enterprise architecture, its uniqueness lies in helping enterprises to complete the profound ""digital"" transformation, so that enterprises through information technology will be strategy, business and IT profoundly connected, become efficient ""digital"" enterprises. This paper focuses on the relationship between enterprise business architecture and IT architecture, and tries to introduce the Domain-Driven Design idea in software design into the business model modeling process, so as to optimize business combing, process management and data modeling, build strategy-capability business architecture, and guide the construction of enterprise digital information system. The research results have guiding significance for promoting the top-level design of enterprise business, the construction of reusable enterprise capabilities, and the development and implementation of information systems.",,10.1145/3708036.3708210,https://doi.org/10.1145/3708036.3708210,,,"Digital transformation, Domain-Driven Design, Enterprise business architecture, Meta-model",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,An approach to variability management in service-oriented product lines,"Khoshnevis, Sedigheh",,2012,ACM Digital Library,1483–1486,,"Service-Oriented product lines (SOPLs) are dynamic software product lines, in which, the products are developed based on services and service-oriented architecture. Although there are similarities between components and services, there are important differences so that we cannot use component-based product line engineering methods and techniques for SOPL engineering. These differences emerge from the fact that, services can be discovered as black box elements from external repositories. Moreover, services can be dynamically bound and are business-aligned. Therefore, analyzing the conformance of discovered external services with the variability of services in the SOPL –which must be aligned to the variable business needs-is necessary. Variability must be managed, that is, it must be represented (modeled), used (instantiated and capable of conformance checking) and maintained (evolved) over time. Feature Models are insufficient for modeling variability in SOPL, because, services cannot be simply mapped to one or more features, and identification of the mapping depends on knowing the detailed implementation of the services. This research aims at providing an approach to managing the variability in SOPLs so that external services can be involved in the SOPL engineering. This paper presents an overview of the proposal.",,,,,,,IEEE Press,,,,,"46049,79051","46049,79051",Unclassified,
,Software Architecture Recovery with Information Fusion,"Zhang, Yiran and Xu, Zhengzi and Liu, Chengwei and Chen, Hongxu and Sun, Jianwen and Qiu, Dong and Liu, Yang",,2023,ACM Digital Library,1535–1547,,"Understanding the architecture is vital for effectively maintaining and managing large software systems. However, as software systems evolve over time, their architectures inevitably change. To keep up with the change, architects need to track the implementation-level changes and update the architectural documentation accordingly, which is time-consuming and error-prone. Therefore, many automatic architecture recovery techniques have been proposed to ease this process. Despite efforts have been made to improve the accuracy of architecture recovery, existing solutions still suffer from two limitations. First, most of them only use one or two type of information for the recovery, ignoring the potential usefulness of other sources. Second, they tend to use the information in a coarse-grained manner, overlooking important details within it. To address these limitations, we propose SARIF, a fully automated architecture recovery technique, which incorporates three types of comprehensive information, including dependencies, code text and folder structure. SARIF can recover architecture more accurately by thoroughly analyzing the details of each type of information and adaptively fusing them based on their relevance and quality. To evaluate SARIF, we collected six projects with published ground-truth architectures and three open-source projects labeled by our industrial collaborators. We compared SARIF with nine state-of-the-art techniques using three commonly-used architecture similarity metrics and two new metrics. The experimental results show that SARIF is 36.1% more accurate than the best of the previous techniques on average. By providing comprehensive architecture, SARIF can help users understand systems effectively and reduce the manual effort of obtaining ground-truth architectures.",,10.1145/3611643.3616285,https://doi.org/10.1145/3611643.3616285,,,"architecture comparison, reverse engineering, software architecture recovery, software module clustering",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,"Microservice Security Metrics for Secure Communication, Identity Management, and Observability","Zdun, Uwe and Queval, Pierre-Jean and Simhandl, Georg and Scandariato, Riccardo and Chakravarty, Somik and Jelic, Marjan and Jovanovic, Aleksandar",ACM Trans. Softw. Eng. Methodol.,2023,ACM Digital Library,,32,"Microservice architectures are increasingly being used to develop application systems. Despite many guidelines and best practices being published, architecting microservice systems for security is challenging. Reasons are the size and complexity of microservice systems, their polyglot nature, and the demand for the continuous evolution of these systems. In this context, to manually validate that security architecture tactics are employed as intended throughout the system is a time-consuming and error-prone task. In this article, we present an approach to avoid such manual validation before each continuous evolution step in a microservice system, which we demonstrate using three widely used categories of security tactics: secure communication, identity management, and observability. Our approach is based on a review of existing security guidelines, the gray literature, and the scientific literature, from which we derived Architectural Design Decisions (ADDs) with the found security tactics as decision options. In our approach, we propose novel detectors to detect these decision options automatically and formally defined metrics to measure the conformance of a system to the different options of the ADDs. We apply the approach to a case study data set of 10 open source microservice systems, plus another 20 variants of these systems, for which we manually inspected the source code for security tactics. We demonstrate and assess the validity and appropriateness of our metrics by performing an assessment of their conformance to the ADDs in our systems’ dataset through statistical methods.",,10.1145/3532183,https://doi.org/10.1145/3532183,,,"Microservice architecture, microservice security, software architecture metrics, software architecture detectors",Association for Computing Machinery,1049-331X,,,,"46049,79051","46049,79051",Unclassified,
,Co-evolution of component-based architecture-model and object-oriented source code,"Langhammer, Michael",,2013,ACM Digital Library,37–42,,"With the evolution of software systems, architecture model and system implementation tend to drift apart. While suitable architecture model supports architects and developers in better understanding the software system, the missing synchronization to source code of the underlying implementation can result in outdated architecture models. In this paper, we address two challenges in today's architecture-driven software development: architecture drift and architecture erosion. We introduce a co-evolution approach of a component-based architecture model and object-oriented source code. Our novel approach supports software architects and software developers by introducing a tight and continuous synchronization of a component-based architecture model and the source code. To get architecture evolution under control, our co-evolution approach maps architecture changes done via the source code to the architecture model and vice versa. This explicit support of changes and refactorings at architecture-level prevents unintended architecture violations. In order to evaluate our approach, we plan different case studies whose layout is designed in the evaluation section.",,10.1145/2465498.2465504,https://doi.org/10.1145/2465498.2465504,,,co-evolution,Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,"MADDC: Multi-Scale Anomaly Detection, Diagnosis and Correction for Discrete Event Logs","Wang, Xiaolei and Yang, Lin and Li, Dongyang and Ma, Linru and He, Yongzhong and Xiao, Junchao and Liu, Jiyuan and Yang, Yuexiang",,2022,ACM Digital Library,769–784,,"Anomaly detection for discrete event logs can provide critical information for building secure and reliable systems in various application domains, such as large scale data centers, autonomous driving, and intrusion detection. However, the task is very challenging due to the lack of a clear understanding and definition of anomaly in the specific problem space, and the log data is often highly complex with temporal correlation. Existing deep learning based methods mostly suffer from such issues as overfitting, uncertainty or low interpretability; consequently, the detection results may be inaccurate, with little information to help security analysts diagnose the reported anomalies with high confidence. To tackle this challenge, in this research, we propose a general framework named MADDC, which aims to (1) accurately perform Multi-scale Anomaly Detection, Diagnosis and Correction for discrete event logs, and (2) help analysts further mitigate anomalies based on diagnosis results. Specifically, we first design a new anomaly critic for LSTM variational autoencoder based model to alleviate overfitting and reduce false negatives during anomaly detection. As one of our main contributions, we then introduce process mining technique to build process-centric workflow models in an unsupervised manner, which forms the ‘normal’ context of an event sequence and help perform accurate and consistent anomaly diagnosis through global sequence alignment. Experiments on publicly available datasets show that MADDC not only outperformed several representative methods in terms of detection accuracy, but also could improve the visibility to abnormal deviations from normal execution, hence helping security analysts understand anomalies and make further corrections.",,10.1145/3564625.3567972,https://doi.org/10.1145/3564625.3567972,,,"Anomaly Detection, Anomaly Diagnosis, Deep Learning, Discrete Event Log",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Experimental Conformance Evaluation onUBER ATG Safety Case Framework withANSI/UL 4600,"Taguchi, Kenji and Ishikawa, Fuyuki",,2021,ACM Digital Library,272–283,,"The safety of Self-Driving Vehicles (SDVs) is crucial for social acceptance of self-driving technology/vehicles, and how to assure such safety is of great concern for automakers and regulatory and standardization bodies. ANSI/UL 4600 (4600) [3], a standard for the safety of autonomous products, has an impact on the regulatory regime of self-driving technology/vehicles due to its detailed and well defined assurance requirements on what will be required for the safety of autonomous products. One of the major characteristics of the standard is wide-scale adoption of the safety case, which has been traditionally used for safety assurance of safety-critical systems such as railways and automobiles.Uber ATG (now Aurora) then released its own safety case called the Safety Case Framework (SCF) [1] for their SDVs. A question arises as to how much the SCF would conform to 4600 even though the SFC does not claim its conformance with the standard. An answer to this question would result in what type of argumentation would be fit for purpose for safety assurance for SDVs and address issues with conformance assessment of a safety case with a standard.In this paper we report on lessons we learned from an experimental analysis on the conformance ratios of the SCF with 4600 and structural analysis following the argument structure of the SCF.",,10.1007/978-3-030-83906-2_22,https://doi.org/10.1007/978-3-030-83906-2_22,,,"Safety, Self-driving vehicles, Safety case, Uber ATS’s safety case framework, ANSI/UL 4600, Regulatory compliance",Springer-Verlag,,,,,"46049,79051","46049,79051",Unclassified,
,Type-Safe Dynamic Placement with First-Class Placed Values,"Zakhour, George and Weisenburger, Pascal and Salvaneschi, Guido",Proc. ACM Program. Lang.,2023,ACM Digital Library,,7,"Several distributed programming language solutions have been proposed to reason about the placement of data, computations, and peers interaction. Such solutions include, among the others, multitier programming, choreographic programming and various approaches based on behavioral types. These methods statically ensure safety properties thanks to a complete knowledge about placement of data and computation at compile time. In distributed systems, however, dynamic placement of computation and data is crucial to enable performance optimizations, e.g., driven by data locality or in presence of a number of other constraints such as security and compliance regarding data storage location. Unfortunately, in existing programming languages, dynamic placement conflicts with static reasoning about distributed programs: the flexibility required by dynamic placement hinders statically tracking the location of data and computation.   In this paper we present Dyno, a programming language that enables static reasoning about dynamic placement. Dyno features a type system where values are explicitly placed, but in contrast to existing approaches, placed values are also first class, ensuring that they can be passed around and referred to from other locations. Building on top of this mechanism, we provide a novel interpretation of dynamic placement as unions of placement types. We formalize type soundness, placement correctness (as part of type soundness) and architecture conformance. In case studies and benchmarks, our evaluation shows that Dyno enables static reasoning about programs even in presence of dynamic placement, ensuring type safety and placement correctness of programs at negligible performance cost. We reimplement an Android app with ∼ 7 K LOC in Dyno, find a bug in the existing implementation, and show that the app's approach is representative of a common way to implement dynamic placement found in over 100 apps in a large open-source app store.",,10.1145/3622873,https://doi.org/10.1145/3622873,,,"Distributed Programming, Dynamic Placement, Multitier Programming, Placement Types, Scala, Union Types",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
,Secure multicast for power grid communications,"Zhang, Jianqing",,2010,ACM Digital Library,,,"Secure multicast for power grid systems faces a number of challenges like complex and error-prone group configuration, inefficient group key management, real-time challenges to existing security protocols and the balance among correctness, efficiency, feasibility and cost. We propose an application-aware approach to setting up secure multicast for power grid communications that automatically derives group memberships and verifies configuration conformance from data dependencies in system specifications. We present an analytic publish-subscribe model, which formally depicts the relationships between data objects, publishers, subscribers and group controllers in a secure multicast system. Based on the model, we study anomalies in multicast functionality configurations like redundant and unauthorized publications, source-anomaly and data-dissatisfaction subscriptions. Algorithms are developed to detect the anomalies and verify the configuration conformance. A practical architecture is designed for automatic and error-resistant group configuration. It transforms the application layer system specifications to the network layer group security associations, policies and credentials. We also demonstrate the feasibility of raising link layer control messages to the network layer and protecting timing critical multicast traffic using one of the off-the-shelf network layer security protocols, namely IPsec. We provide experimental evidence that native IPsec multicast is capable of addressing latency constraints in medium scale networks.To evaluate the approach, we present a case study of IEC 61850 power substation networks and have developed a demo system, SecureSCL. The case study shows the benefits a real-world application gains from the automatically-generated group security configurations and demonstrates the practicality and efficiency of the approach.This work provides a cross-layer approach of automatically self-generated group configuration for power grid communications, addressing key concerns of both system implementation and conformance analysis. The proposed multicast model and verification mechanism can be extended for generic secure communication configurations. On the other hand, the prototype system SecureSCL has a potential of being developed into a realistic application for power substations.",,,,,,,University of Illinois at Urbana-Champaign,,,AAI3455904,,"46049,79051","46049,79051",Unclassified,
,Decision Mining versus Process Mining: a Comparison of Mining Methods,"de Jong, Robin and Leewis, Sam and Berkhout, Matthijs",,2022,ACM Digital Library,28–32,,"Since the advent of digitization and automation there has been a greater need for analysis of business processes and decisions. Data lies at the foundation for this. In this study the mining of decisions is further defined using Process mining as a reference. These two mining methods have some overlap but there are significant differences. These overlap and differences have come to light through the use of a conceptual model. By using the conceptual model with a fictional event log for Process mining and a fictional decision log for Decision mining, the differences and similarities could be explained. Results show that decision mining has an overlap with Process mining, but the differences together make the gap between Decision mining and Process mining too large to be considered as one field. Further research is needed to for the utilization of real life scenario's, compared to the fictional data used in this study, to ensure a clear overview of the difference and similarities between the two mining methods.",,10.1145/3507485.3507490,https://doi.org/10.1145/3507485.3507490,,,"Data mining, Decision mining, Process mining",Association for Computing Machinery,,,,,"46049,79051","46049,79051",Unclassified,
